,hard_text,profession,gender,id
0,"She spent 25 years in media, as a newspaper reporter, editor, executive editor--primarily at USA TODAY and USA WEEKEND--and then as a programming managing editor at AOL. As a Fulbright grantee, she lectured last summer at Moscow State University on new media and convergence.",professor,F,0
1,"Ms. Lasswell practices medicine in San Antonio, TX and specializes in Family Medicine. Ms. Lasswell is affiliated with Mission Trail Baptist Hospital. Ms. Lasswell speaks English and Spanish.",physician,F,1
2,"He has a clinical interest in communication disorders and improving interventions for breathing, speech and hearing. Dr. Green has developed surgical techniques and devices for complex airway reconstruction and is co-inventor, along with Scott Hollister, Ph.D.,of a life-saving, 3D-printed tracheal splint, as well as a number of other medical devices. He is the director of ongoing translational trials of 3D-printed medical devices in both humans and animals.",professor,M,2
3,"She is on the clinical faculty for the department of surgery at the University of South Florida College of Medicine, and has served as president of the board of directors of the Judeo Christian Health Clinic Inc. since 1993. The Judeo Christian Health Clinic provides free health care to thousands of medically indigent residents of the Tampa Bay area who have no other resource for their health care needs. Most patients work at low-paying jobs and cannot afford to pay a private doctor or to purchase health insurance.",surgeon,F,3
4,"In his book The Consolidators he tells the success stories of seven second-generation who turned around the companies they inherited from their fathers with their imagination, foresight, and gumption.…",journalist,M,4
5,"Certified by the American Board of Orthopedic Surgery, Dr. Stafford’s primary focus is on joint replacement surgery. This includes the latest and most current technology involving hip, knee and shoulder replacement. He performs anterior approach hip replacement, as well as total knee and robotic assisted MAKO partial knee replacements. Complex arthritic shoulder conditions are also treated utilizing either conventional or reverse total shoulder replacement as indicated. He also performs a variety of minimally invasive arthroscopic procedures addressing non-arthritic shoulder and knee conditions.",professor,M,5
6,"She has published articles in continental and political philosophy, philosophy of race, subaltern studies, critical race theory, feminist theory, legal theory, and cultural and ethnic studies. Her books are Race, Liberalism, and Economics, coedited with David Colander and Robert E. Prasch (University of Michigan Press, 2004) and Toward a Political Philosophy of Race (SUNY Press, 2009). Her current research is in several areas: hybrid subjectivity, gender, and race; methodologies of critical race theory; Foucault’s biopolitics in the context of legal subjectivity; the emergence and legal construction of Punjabi-Mexicans at the turn of the twentieth century; and the metaphysics of misrecognition. Sheth is an organizer of the California Roundtable for Philosophy and Race. She also writes a blog on legal, political, and cultural topics.",professor,F,6
7,"She holds a BA from Carleton College (Magna Cum Laude) in Music, and her Master's and Ph.D. in Ethnomusicology from the University of California, Los Angeles. Prior to teaching at Texas Tech University, she taught at UCLA, UC Santa Cruz and the California Institute of the Arts. Through archival and field-based research, her work focuses on mariachi music in Mexico and the United States and its institutionalization vis-à-vis American academic programs at the primary, secondary, and collegiate levels. Utilizing the frameworks of postcolonial and practice theories, her research explores the ramifications of mariachi’s formalization in terms of pedagogy, performance practice, and meaning.",professor,F,7
8,"He specializes in pediatric heart failure, heart transplant, and pulmonary hypertension. He is actively involved in multiple national and international transplant organizations including the International Society for Heart and Lung Transplantation (ISHLT), the Americal Society for Transplantation, and the International Pediatric Transplant Assocation. His primary research involves outcomes of cardiac transplantation in children with complex congenital heart disease, treatment of antibody medited rejection, treatment of acute heart failure, innovative noninvasive measurements of systolic and diastolic function in children with cardiomyopathies and heart transplant, and cost analysis of heart transplantation. He participates in multicenter research studies through the Pediatric Heart Transplant Study and ISHLT.",professor,M,8
9,"She graduated with honors in 2010. Having more than 6 years of diverse experiences, especially in NURSE PRACTITIONER, Rebecca O Swint affiliates with Upmc Mckeesport, and cooperates with other doctors and specialists in medical group University Of Pittsburgh Physicians. Call Rebecca O Swint on phone number (412) 664-4124 for more information and advises or to book an appointment.",nurse,F,9
10,"Her research examining the literacy practices of adolescents and literacy teacher preparation has been published in Literacy Research & Instruction, The Journal of Adolescent & Adult Literacy, and The Teacher Educator.",professor,F,10
11,"He joined the Gulf High School faculty in 1995. Before becoming a teacher, Mr. Miller worked in radio broadcasting. He also served in the U. S. Air Force, where he worked in electronic communications. He was born in Beckley, W. Va., and attended Woodrow Wilson High School there. He attended Duke University and the University of South Florida, and has a B. S. degree in Mathematics Education. Mr. Miller maintains the Gulf High School web site and he tweets fun facts about Pasco County history @jeff560.",teacher,M,11
